task_id,category,status,failure_type,baseline_score,num_checkpoints,num_low_before,low_checkpoint_ids,low_fraction,route_name,routed_modules,suggested_modules,rationale,repaired_score,score_delta
14,Information Retrieval & Knowledge QA,heldout20_needs_route,multi-artifact deliverable realization failure,4.6923076923076925,15,9,"[""cp1-1"", ""cp1-2"", ""cp2-1"", ""cp2-2"", ""cp3-3"", ""cp4-2"", ""cp5-2"", ""cp5-3"", ""cp5-4""]",0.6,multi_artifact_package_generation,"[""MultiArtifactPackageRepair""]",[],multiple promised deliverables are absent and must be materialized as a package,,
79,Educational & Instructional Content,heldout20_needs_route,document artifact package realization failure,10.0,10,0,[],0.0,document_package_generation,"[""SourceGroundedDocumentRepair"", ""DocumentPackageRepair""]",[],document/report artifacts and source-grounded sections are missing or not visible,,
92,Educational & Instructional Content,heldout20_needs_route,multi-artifact deliverable realization failure,1.2916666666666667,13,13,"[""cp1-1"", ""cp1-2"", ""cp2-1"", ""cp2-2"", ""cp2-3"", ""cp2-4"", ""cp3-1"", ""cp3-2"", ""cp3-3"", ""cp3-4"", ""cp4-1"", ""cp4-2"", ""cp4-3""]",1.0,multi_artifact_package_generation,"[""MultiArtifactPackageRepair""]",[],multiple promised deliverables are absent and must be materialized as a package,,
133,Data Analysis & Quantitative Reasoning,heldout20_needs_route,multi-artifact deliverable realization failure,5.7894736842105265,12,5,"[""cp2-2"", ""cp3-1"", ""cp4-1"", ""cp5-2"", ""cp7""]",0.4166666666666667,multi_artifact_package_generation,"[""MultiArtifactPackageRepair""]",[],multiple promised deliverables are absent and must be materialized as a package,,
7,Educational & Instructional Content,heldout20_needs_route,multi-artifact deliverable realization failure,2.8444444444444446,9,7,"[""cp1-1"", ""cp1-2"", ""cp1-4"", ""cp1-5"", ""cp2-1"", ""cp3-1"", ""cp3-2""]",0.7777777777777778,multi_artifact_package_generation,"[""MultiArtifactPackageRepair""]",[],multiple promised deliverables are absent and must be materialized as a package,,
61,Creative Design & Expressive Generation,heldout20_needs_route,multi-artifact deliverable realization failure,2.75,12,9,"[""cp1-2"", ""cp2-1"", ""cp3-1"", ""cp4-1"", ""cp5-1"", ""cp5-2"", ""cp5-3"", ""cp6-1"", ""cp6-2""]",0.75,multi_artifact_package_generation,"[""MultiArtifactPackageRepair""]",[],multiple promised deliverables are absent and must be materialized as a package,,
127,Data Analysis & Quantitative Reasoning,heldout20_needs_route,multi-artifact deliverable realization failure,7.904761904761905,7,1,"[""cp3""]",0.14285714285714285,preservation_patch,"[""NonRegressionPreservation""]",[],high baseline with few low checkpoints; preserve sibling evidence,,
45,Creative Design & Expressive Generation,heldout20_needs_route,multi-artifact deliverable realization failure,5.233333333333333,10,5,"[""cp1-1"", ""cp2-1"", ""cp2-2"", ""cp4-1"", ""cp4-3""]",0.5,multi_artifact_package_generation,"[""MultiArtifactPackageRepair""]",[],multiple promised deliverables are absent and must be materialized as a package,,
111,Educational & Instructional Content,heldout20_needs_route,multi-artifact deliverable realization failure,3.0833333333333335,9,7,"[""cp1-1"", ""cp2-1"", ""cp2-2"", ""cp3-1"", ""cp3-2"", ""cp3-3"", ""cp4-1""]",0.7777777777777778,multi_artifact_package_generation,"[""MultiArtifactPackageRepair""]",[],multiple promised deliverables are absent and must be materialized as a package,,
94,Planning & Decision Support,heldout20_needs_route,document artifact package realization failure,9.7,12,0,[],0.0,document_package_generation,"[""SourceGroundedDocumentRepair"", ""DocumentPackageRepair""]",[],document/report artifacts and source-grounded sections are missing or not visible,,
